Indicator,Champion,Competitor,Champion_MAPE,Competitor_MAPE,DM_Statistic,p_value,Significant_5pct,Significant_10pct,N_Predictions
3-Month Treasury,GRU,XGBoost,3.15243219868945,3.1175570263249295,1.4375550255233698,0.17839283378287574,No,No,12
3-Month Treasury,GRU,RandomForest,3.15243219868945,3.3003297870053507,1.4591011588856553,0.17249548141593496,No,No,12
3-Month Treasury,GRU,LSTM,3.15243219868945,5.928880707605657,-1.4994807081372155,0.16189066750905812,No,No,12
3-Month Treasury,GRU,Transformer,3.15243219868945,8.9906343967679,-3.951926064390679,0.002265200930621214,Yes,Yes,12
3-Month Treasury,GRU,sLSTM,3.15243219868945,18.971002600771914,-5.178835359166257,0.0003043004603642263,Yes,Yes,12
3-Month Treasury,GRU,mLSTM,3.15243219868945,7.978681874348294,-2.367217705251374,0.03733492329352295,Yes,Yes,12
Auto Sales,RandomForest,XGBoost,0.5793263152370498,0.6581679964098961,-0.6642583618392953,0.5202060268404076,No,No,12
Auto Sales,RandomForest,LSTM,0.5793263152370498,32.22342207113111,-4.130031817114526,0.0016720285079090402,Yes,Yes,12
Auto Sales,RandomForest,GRU,0.5793263152370498,23.45017095815703,-3.019386610969434,0.01166849645824719,Yes,Yes,12
Auto Sales,RandomForest,Transformer,0.5793263152370498,22.98616180949543,-2.2500191760903694,0.045888361012750734,Yes,Yes,12
Auto Sales,RandomForest,sLSTM,0.5793263152370498,79.36304617437742,-23.933657257639233,7.726863593404687e-11,Yes,Yes,12
Auto Sales,RandomForest,mLSTM,0.5793263152370498,27.368948946517307,-2.0855081278071688,0.06111352925387403,No,Yes,12
Corporate Profits,XGBoost,RandomForest,1.5940731000332706,0.9094174888371248,1.4690766182069306,0.16982187801221027,No,No,12
Corporate Profits,XGBoost,LSTM,1.5940731000332706,48.4409222392961,-3.30855084145632,0.006971424109350366,Yes,Yes,12
Corporate Profits,XGBoost,GRU,1.5940731000332706,29.5421924264278,-3.4394632736531765,0.005529906814972563,Yes,Yes,12
Corporate Profits,XGBoost,Transformer,1.5940731000332706,46.67230844552411,-7.820122089727528,8.103618134747137e-06,Yes,Yes,12
Corporate Profits,XGBoost,sLSTM,1.5940731000332706,82.9018475077569,-7.296067307392565,1.550583070208944e-05,Yes,Yes,12
Corporate Profits,XGBoost,mLSTM,1.5940731000332706,55.92153123636009,-5.204572174374698,0.00029240182280076965,Yes,Yes,12
Housing Starts,XGBoost,RandomForest,4.553180999605714,6.590530131129762,-0.7934044572509162,0.4443197865431099,No,No,12
Housing Starts,XGBoost,LSTM,4.553180999605714,12.431196931958356,-0.9562907770175522,0.35947037177962904,No,No,12
Housing Starts,XGBoost,GRU,4.553180999605714,14.626523599120453,-0.9675947020820937,0.3540398006617145,No,No,12
Housing Starts,XGBoost,Transformer,4.553180999605714,19.664858118349095,-0.9941967171652548,0.3414939935758603,No,No,12
Housing Starts,XGBoost,sLSTM,4.553180999605714,22.340747496392453,-1.0280044314534569,0.3260226368466188,No,No,12
Housing Starts,XGBoost,mLSTM,4.553180999605714,12.32250937551676,-0.9614516447358549,0.3569836438370013,No,No,12
Industrial Production,XGBoost,RandomForest,5.697446426852998,7.553472440919941,-2.161006373873784,0.053610283781417856,No,Yes,12
Industrial Production,XGBoost,LSTM,5.697446426852998,23.21198554182989,-2.114784222798418,0.05809309685858244,No,Yes,12
Industrial Production,XGBoost,GRU,5.697446426852998,20.02156762907044,-2.3852228071827244,0.036165625223219866,Yes,Yes,12
Industrial Production,XGBoost,Transformer,5.697446426852998,27.1959897116486,-2.741255534238719,0.019188324433963677,Yes,Yes,12
Industrial Production,XGBoost,sLSTM,5.697446426852998,30.957461195264173,-2.69299611691012,0.020916876361812387,Yes,Yes,12
Industrial Production,XGBoost,mLSTM,5.697446426852998,34.98902803267902,-2.984410397799786,0.012421190305865748,Yes,Yes,12
Real GDP (combined),Transformer,XGBoost,9.434550148138754,6.851155109056426,1.2304022961658823,0.24420962216771835,No,No,12
Real GDP (combined),Transformer,RandomForest,9.434550148138754,6.832363312845328,1.2300931778137478,0.24432086943027076,No,No,12
Real GDP (combined),Transformer,LSTM,9.434550148138754,31.52271722090607,-2.5108194020931425,0.028944256916629385,Yes,Yes,12
Real GDP (combined),Transformer,GRU,9.434550148138754,15.782695404813577,-2.074557593507025,0.06228091787372736,No,Yes,12
Real GDP (combined),Transformer,sLSTM,9.434550148138754,68.28374217304584,-7.90718977332632,7.297447497611742e-06,Yes,Yes,12
Real GDP (combined),Transformer,mLSTM,9.434550148138754,24.817940944531184,-2.5759963404880266,0.025773541202737116,Yes,Yes,12
