Model,Rank,Model Family,Mean MAPE,Std MAPE,Min MAPE,Max MAPE,N Experiments
Ridge,1,Machine Learning,0.2501,0.3378,0.0378,0.9216,21
ElasticNet,2,Machine Learning,5.3802,5.9346,1.3586,17.1373,22
GradientBoosting,3,Machine Learning,14.3804,11.5467,2.3007,36.7802,22
XGBoost,4,Machine Learning,14.7821,16.5861,1.8699,54.7953,9
GRU,5,Deep Learning,15.0026,8.2417,3.1524,29.5422,9
SVR,6,Machine Learning,18.1599,17.844,2.642,54.048,22
RandomForest,7,Machine Learning,18.166,20.6823,3.1918,62.6411,9
LightGBM,8,Machine Learning,18.388,15.3462,5.1567,53.8287,9
Transformer,9,Deep Learning,20.5683,11.4184,8.9906,46.6723,9
KNN,10,Machine Learning,21.9131,20.157,3.6192,61.2168,21
LSTM,11,Deep Learning,23.4071,12.5426,5.9289,48.4409,9
mLSTM,12,xLSTM,25.6907,14.0561,7.9787,55.9215,9
CatBoost,13,Machine Learning,27.2788,23.9003,3.4003,74.6174,22
Chronos,14,Foundation,31.608,47.9499,2.5464,132.7415,9
AdaBoost,15,Machine Learning,42.5272,56.286,4.1298,158.005,22
Seasonal-Naive,16,Baseline,43.903,44.2538,6.7191,132.684,22
sLSTM,17,xLSTM,45.5736,26.7499,18.971,82.9018,9
Naive,18,Baseline,47.5632,53.1288,5.9217,154.8172,22
ETS,19,Classical,61.9731,78.8884,7.4453,223.9586,22
Theta,20,Classical,64.5684,65.4222,6.8303,193.7288,22
SARIMA,21,Classical,82.528,62.6019,6.4123,194.4845,17
Naive-Seasonal,22,Foundation,113.3918,153.5015,10.6669,484.0134,9
