Model,3-Month Treasury,Auto Sales,CPI,Corporate Profits,Housing Starts,Industrial Production,Personal Income,Real GDP (combined),Unemployment Rate,Mean
Ridge,0.11,0.09,0.05,,0.92,,,0.19,0.04,0.23333333333333336
ElasticNet,2.7,1.97,1.56,,17.14,,,6.21,1.36,5.156666666666667
GradientBoosting,8.9,2.3,9.34,,11.03,,,36.78,15.19,13.923333333333332
XGBoost,20.87,4.55,12.26,9.01,4.45,1.87,20.85,54.8,4.39,14.783333333333331
GRU,3.15,23.45,10.61,29.54,14.63,20.02,8.23,15.78,9.61,15.00222222222222
SVR,12.04,2.64,10.72,,10.05,,,54.05,16.39,17.648333333333333
RandomForest,21.38,4.06,9.31,10.7,6.36,3.19,41.52,62.64,4.33,18.165555555555557
LightGBM,20.58,5.16,24.02,14.92,11.82,5.62,24.05,53.83,5.5,18.38888888888889
Transformer,8.99,22.99,17.56,46.67,19.66,27.2,18.25,9.43,14.35,20.566666666666666
KNN,12.91,3.62,17.44,,16.98,,,61.22,12.56,20.788333333333334
LSTM,5.93,32.22,20.33,48.44,12.43,23.21,17.85,31.52,18.72,23.405555555555555
mLSTM,7.98,27.37,26.47,55.92,12.32,34.99,16.59,24.82,24.75,25.69
CatBoost,18.65,3.4,18.17,,19.32,,,74.62,25.2,26.56
Chronos,3.46,16.26,6.21,132.74,4.93,18.0,5.11,95.23,2.55,31.610000000000007
AdaBoost,12.09,4.13,16.14,,20.65,,,158.0,28.93,39.99
Seasonal-Naive,40.22,6.72,33.38,,32.34,,,132.68,16.23,43.595
sLSTM,18.97,79.36,25.53,82.9,22.34,30.96,60.49,68.28,21.32,45.57222222222222
Naive,35.82,5.92,33.38,,36.48,,,154.82,13.09,46.58499999999999
ETS,39.52,7.45,33.02,,35.64,,,223.96,21.03,60.10333333333333
Theta,56.82,6.83,63.31,,42.05,,,193.73,20.8,63.92333333333334
SARIMA,84.59,6.5,106.43,,59.91,,,193.61,44.83,82.645
Naive-Seasonal,10.67,78.58,32.69,160.74,17.51,186.98,36.36,484.01,12.99,113.39222222222222
